submission_link,uin,name,email
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/123123123,900000001,John Jones Smith,smithman@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/123123124,900000002,Andrew Jackson,7thpresident@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/123123125,900000003,James J Jamesington,jj@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/123123126,900000004,Dwight Kurt Schrute,schrutefarms@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000005,900000005,Snorkel J Puddingfoot,snorkel.puddingfoot@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000006,900000006,Zippity Doofensquirm,zippity.doofensquirm@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000007,900000007,Quibble Marmot Splendrix,quibble.splendrix@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000008,900000008,Gorp Wumblekins,gorp.wumblekins@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000009,900000009,Blonko Twiddlestop,blonko.twiddlestop@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000010,900000010,Fumble Q Sprocketsworth,fumble.sprocketsworth@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000011,900000011,Plonk Wobblefinch,plonk.wobblefinch@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000012,900000012,Crumble Nifflewort,crumble.nifflewort@tamu.edu
https://www.gradescope.com/courses/1216726/assignments/7818936/submissions/100000013,900000013,Splotch Bumblegravy,splotch.bumblegravy@tamu.edu
